brand_name,category,homepage_url,event_url,confidence,reason,status
"피지오겔","뷰티","https://www.physiogel.co.kr","https://www.physiogel.co.kr/board/promotion/membership-event_260202.html","high","키워드 매치: '설명절 행운의 G포인트 당첨 EVENT'","found_quick"
"바이오힐보","뷰티","https://www.oliveyoung.co.kr","https://www.oliveyoung.co.kr/store/main/getEventList.do?t_page=%ED%99%88&t_click=GNB&t_gnb_type=%EC%9D%B4%EB%B2%A4%ED%8A%B8&t_swiping_type=N","high","키워드 매치: '이벤트'","found_quick"
"브링그린","뷰티","https://www.oliveyoung.co.kr","https://www.oliveyoung.co.kr/store/main/getEventList.do?t_page=%ED%99%88&t_click=GNB&t_gnb_type=%EC%9D%B4%EB%B2%A4%ED%8A%B8&t_swiping_type=N","high","키워드 매치: '이벤트'","found_quick"
"웨이크메이크","뷰티","https://www.oliveyoung.co.kr","https://www.oliveyoung.co.kr/store/main/getEventList.do?t_page=%ED%99%88&t_click=GNB&t_gnb_type=%EC%9D%B4%EB%B2%A4%ED%8A%B8&t_swiping_type=N","high","키워드 매치: '이벤트'","found_quick"
"컬러그램","뷰티","https://www.oliveyoung.co.kr","https://www.oliveyoung.co.kr/store/main/getEventList.do?t_page=%ED%99%88&t_click=GNB&t_gnb_type=%EC%9D%B4%EB%B2%A4%ED%8A%B8&t_swiping_type=N","high","키워드 매치: '이벤트'","found_quick"
"식물나라","뷰티","https://www.oliveyoung.co.kr","https://www.oliveyoung.co.kr/store/main/getEventList.do?t_page=%ED%99%88&t_click=GNB&t_gnb_type=%EC%9D%B4%EB%B2%A4%ED%8A%B8&t_swiping_type=N","high","키워드 매치: '이벤트'","found_quick"
"에스네이처","뷰티","https://snature.kr","https://snature.kr/product/list.html?cate_no=86","high","키워드 매치: 'EVENT'","found_quick"
"웰라쥬","뷰티","https://www.wellage.co.kr","https://www.wellage.co.kr/article/event/8/17706/categoryno/1/","high","키워드 매치: '첫구매 9,900원 [5만원 쿠폰팩]'","found_quick"
"닥터자르트","뷰티","https://www.drjart.co.kr","https://www.drjart.co.kr/offers","high","키워드 매치: '혜택받기'","found_quick"
"어노브","뷰티","https://unove.co.kr","","none","접속 실패: net::ERR_NAME_NOT_RESOLVED at https://unove.co.kr","error"
"바이오더마","뷰티","https://www.bioderma.co.kr","https://www.naosmall.kr/board/event/8/?board_no=8&category_no=1","high","키워드 매치: '이벤트'","found_quick"
"유리아쥬","뷰티","https://www.uriage.co.kr","","none","접속 실패: net::ERR_CERT_DATE_INVALID at https://www.uriage.co.kr","error"
"세타필","뷰티","https://www.cetaphil.co.kr","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전, 특가 등과 관련된 페이지를 찾을 수 없음. 신제품, 제품 카테고리, 피부 고민/타입별 분류, 브랜드 정보, 구매처 등의 링크만 존재","not_found"
"시드물","뷰티","https://www.sidmool.com","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"프리메라","뷰티","https://www.primera.co.kr","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등 관련 페이지를 찾을 수 없음. 모두 제품 카테고리 및 상세 페이지 링크임","not_found"
"헉슬리","뷰티","https://www.huxley.co.kr","https://www.huxley.co.kr/article/event/8/60208/","high","키워드 매치: '✧T membership 상시 프로모션✧'","found_quick"
"라네즈","뷰티","https://www.laneige.com","https://www.laneige.com/kr/ko/event/current-events/","high","키워드 매치: '이벤트'","found_quick"
"려","뷰티","https://www.ryo.com","","high","제공된 링크 목록에 이벤트, 프로모션, 할인, 기획전 등 관련 페이지가 없음. 제품, 고민별, 서비스 관련 링크만 존재","not_found"
"미쟝센","뷰티","https://www.miseenscene.com","","high","제공된 링크 목록에 이벤트, 프로모션, 할인, 혜택, 기획전 등 관련 페이지가 없음. 제품 카테고리 및 브랜드 정보 링크만 존재","not_found"
"일리윤","뷰티","https://www.illiyoon.com","https://www.illiyoon.com/board/%EC%9D%B4%EB%B2%A4%ED%8A%B8/2/","high","키워드 매치: '이벤트'","found_quick"
"에스트라","뷰티","https://www.aestura.com","","high","제공된 링크에 이벤트/프로모션/할인 관련 페이지가 없음. 모두 뷰티 팁/FAQ 페이지","not_found"
"한율","뷰티","https://www.hanyul.com","https://www.amorepacificmall.com/kr/ko/display/brand/brand9?displayMenuId=brand9&brandSn=25","high","키워드 매치: '지금 AP몰을 방문하셔서 한율 제품과 풍성한 혜택을 드리는 이벤트를 확인해 보세요.'","found_quick"
"오휘","뷰티","https://www.ohui.co.kr","","none","접속 실패: net::ERR_NAME_NOT_RESOLVED at https://www.ohui.co.kr","error"
"숨37","뷰티","https://www.sum37.co.kr","","none","접속 실패: net::ERR_CERT_COMMON_NAME_INVALID at https://www.sum37.co.kr","error"
"더후","뷰티","https://www.thewhoo.co.kr","","none","접속 실패: net::ERR_NAME_NOT_RESOLVED at https://www.thewhoo.co.kr","error"
"빌리프","뷰티","https://www.belif.co.kr","","none","접속 실패: net::ERR_CERT_COMMON_NAME_INVALID at https://www.belif.co.kr","error"
"브이티","뷰티","https://www.vt-cosmetics.com","https://www.vt-cosmetics.com/product/event.html?cate_no=194","high","키워드 매치: '이벤트'","found_quick"
"토니모리","뷰티","https://www.tonymoly.com","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"홀리카홀리카","뷰티","https://www.holikaholika.co.kr","https://www.enpranimall.com/shop/neoevent_list.html","high","키워드 매치: '체험단📝'","found_quick"
"더샘","뷰티","https://www.thesaemcosmetic.com","","high","제공된 링크 목록에 이벤트, 프로모션, 할인, 혜택, 기획전 등 관련 페이지가 없음. 모두 제품 카테고리 페이지임","not_found"
"잇츠스킨","뷰티","https://www.itsskin.com","https://www.itsskin.com/board/list.php?bdId=event&period=current","high","키워드 매치: '이벤트'","found_quick"
"미샤","뷰티","https://www.missha.co.kr","","none","접속 실패: net::ERR_CERT_COMMON_NAME_INVALID at https://www.missha.co.kr","error"
"어퓨","뷰티","https://www.apieu.co.kr","","none","접속 실패: net::ERR_CERT_COMMON_NAME_INVALID at https://www.apieu.co.kr","error"
"코스알엑스","뷰티","https://www.cosrx.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"디어클레어스","뷰티","https://www.klairs.com","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"에이프릴스킨","뷰티","https://aprilskin.com","https://aprilskin.com/event/26seol.html","high","키워드 매치: '✨설날 이벤트'","found_quick"
"메디큐브","뷰티","https://themedicube.co.kr","https://themedicube.co.kr/event/list.html","high","키워드 매치: '이벤트/혜택'","found_quick"
"포맨트","뷰티","https://forment.co.kr","","none","접속 실패: net::ERR_NAME_NOT_RESOLVED at https://forment.co.kr","error"
"그라펜","뷰티","https://grafen.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"다슈","뷰티","https://www.hairwax.co.kr","https://www.hairwax.co.kr/board/gallery/list.html?board_no=8","high","키워드 매치: 'EVENT'","found_quick"
"쿤달","뷰티","https://www.kundal.co.kr","https://www.kundal.co.kr/article/event/8/185424/","high","키워드 매치: '상시혜택💜'","found_quick"
"라보에이치","뷰티","https://www.laboh.co.kr","https://www.laboh.co.kr/board/gallery/list.html?board_no=8&category_no=1","high","키워드 매치: '이벤트'","found_quick"
"닥터포헤어","뷰티","https://www.drforhair.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"아로마티카","뷰티","https://www.aromatica.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"톤28","뷰티","https://www.toun28.com","https://www.toun28.com/promotion/product/peptacica","high","키워드 매치: 'STORY'","found_quick"
"러쉬 코리아","뷰티","https://www.lush.co.kr","https://weare.lush.co.kr/campaign_donation.html","medium","네비게이션의 '캠페인' 링크가 이벤트/프로모션과 가장 관련성 높음. 다만 캠프인/기부 중심일 가능성 있어 확신도 중간","found_ai"
"록시땅","뷰티","https://kr.loccitane.com","https://kr.loccitane.com/specialoffers","high","설 연휴 배송 안내와 함께 'specialoffers' URL로 표시된 특가/프로모션 페이지. 이벤트와 프로모션 정보를 담은 페이지로 판단됨","found_ai"
"키엘","뷰티","https://www.kiehls.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"에스티 로더","뷰티","https://www.esteelauder.co.kr","https://www.esteelauder.co.kr/promotions","high","키워드 매치: '공식몰 쇼핑혜택'","found_quick"
"바비 브라운","뷰티","https://www.bobbibrown.co.kr","https://www.bobbibrown.co.kr/today-offers","high","키워드 매치: '혜택'","found_quick"
"맥(MAC)","뷰티","https://www.maccosmetics.co.kr","https://www.maccosmetics.co.kr/mac-lover","high","키워드 매치: '혜택 확인하기'","found_quick"
"입생로랑 뷰티","뷰티","https://www.yslbeautykr.com","https://www.yslbeautykr.com/ko_KR/NGL_monthlybenefit.html","high","키워드 매치: '정품 증정 REVIEW EVENT'","found_quick"
"조 말론 런던","뷰티","https://www.jomalone.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"딥티크","뷰티","https://www.sivillage.com/diptyque","","low","링크 부족","skip"
"바이레도","뷰티","https://www.sivillage.com/byredo","","low","링크 부족","skip"
"이솝","뷰티","https://www.aesop.com/kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"신라면","식품","https://www.nongshim.com","https://www.nongshim.com/promotion/event/progress","high","키워드 매치: '농시미 이벤트'","found_quick"
"비비고","식품","https://www.cj.co.kr/ko/brands/bibigo","","high","제공된 링크 중 이벤트/프로모션 목록 페이지가 없습니다. 메인, 이전 페이지, 홈 링크만 존재합니다.","not_found"
"불닭볶음면","식품","https://www.samyangfoods.com","https://www.samyangfoods.com/kor/publicity/event/index.do","high","키워드 매치: '캠페인'","found_quick"
"제주삼다수","식품","https://www.jpdc.co.kr/samdasoo","","low","링크 부족","skip"
"참이슬","식품","https://www.hitejinro.com","","high","제공된 링크 목록에 이벤트, 프로모션, 할인, 혜택, 기획전 등 관련 페이지가 없음. 회사 소개, 채용, IR, ESG 등 기업 정보 페이지만 포함되어 있음","not_found"
"카스","식품","https://www.ob.co.kr","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등을 나타내는 메뉴나 페이지가 없음. OB(오비)는 주로 기업/브랜드 소개 중심의 구성으로 보이며, 개별 브랜드 사이트(카스, 한맥 등)에서 각각의 프로모션을 진행하는 것으로 판단됨.","not_found"
"BBQ","식품","https://www.bbq.co.kr","https://bbq.co.kr/events","high","키워드 매치: '이벤트'","found_quick"
"교촌치킨","식품","https://www.kyochon.com","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"파리바게뜨","식품","https://www.paris.co.kr","https://www.paris.co.kr/promotion/pb-lafc-event/","high","키워드 매치: '진행 중'","found_quick"
"스타벅스","식품","https://www.starbucks.co.kr","https://www.starbucks.co.kr/msr/msreward/level_benefit.do","high","키워드 매치: '등급 및 혜택'","found_quick"
"칠성사이다","식품","https://www.lottechilsung.co.kr","https://company.lottechilsung.co.kr/kor/invest/irevent/list.do","high","키워드 매치: 'IR EVENT'","found_quick"
"오뚜기","식품","https://www.ottogi.co.kr","https://www.otoki.com/brand/event","high","키워드 매치: '이벤트'","found_quick"
"풀무원","식품","https://www.pulmuone.co.kr","https://stibee.com/api/v1.0/emails/share/iK60ds1QSaQ3rfFe31YXHQp0lJTnRO8","high","키워드 매치: '뉴스레터 잇데이 이벤트'","found_quick"
"매일유업","식품","https://www.maeil.com","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등의 목록 페이지를 찾을 수 없음. 공지사항, 뉴스, 제품 카테고리 등의 링크만 존재","not_found"
"서울우유","식품","https://www.seoulmilk.co.kr","https://www.seoulmilk.co.kr/enterprise/event/tv_cf.sm","high","키워드 매치: '홍보&이벤트'","found_quick"
"빙그레","식품","https://www.bing.co.kr","","high","빙그레 홈페이지의 네비게이션과 본문 링크에서 이벤트, 프로모션, 할인, 기획전 등의 목록 페이지를 찾을 수 없음. 제품 소개, 뉴스룸, 고객센터 등이 있으나 전용 이벤트/프로모션 페이지는 미구성","not_found"
"동원참치","식품","https://www.dw.co.kr","","none","접속 실패: net::ERR_CERT_COMMON_NAME_INVALID at https://www.dw.co.kr","error"
"하림","식품","https://www.harim.com","https://www.harim.com/main/?menu=57","high","키워드 매치: '이벤트'","found_quick"
"종가집","식품","https://www.daesang.com","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등 관련 페이지를 찾을 수 없음. 대상(Daesang)은 B2B 식품 기업 홈페이지로 소비자 대상 이벤트/프로모션 페이지가 없는 것으로 판단","not_found"
"청정원","식품","https://www.jungoneshop.com","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등의 목록 페이지를 찾을 수 없음. 모든 링크가 상품 카테고리 또는 선물 카테고리 페이지임","not_found"
"롯데리아","식품","https://www.lotteria.com","","none","접속 실패: net::ERR_CERT_DATE_INVALID at https://www.lotteria.com","error"
"맥도날드","식품","https://www.mcdonalds.co.kr","https://www.mcdonalds.co.kr/kor/promotion/list","high","키워드 매치: '프로모션소식'","found_quick"
"버거킹","식품","https://www.burgerking.co.kr","https://www.burgerking.co.kr/event/ongoing","high","키워드 매치: '이벤트'","found_quick"
"맘스터치","식품","https://momstouch.co.kr","","low","링크 부족","skip"
"써브웨이","식품","https://www.subway.co.kr","https://www.subway.co.kr/eventList","high","키워드 매치: '이벤트ㆍ프로모션'","found_quick"
"도미노피자","식품","https://web.dominos.co.kr","","low","링크 부족","skip"
"피자헛","식품","https://www.pizzahut.co.kr","https://www.pizzahut.co.kr/#","high","키워드 매치: '이벤트&제휴'","found_quick"
"투썸플레이스","식품","https://www.twosome.co.kr","https://www.twosome.co.kr/mo/twMobileGrade.do","high","키워드 매치: '등급 및 혜택'","found_quick"
"이디야커피","식품","https://www.ediya.com","https://www.ediya.com/contents/event.html?tb_name=event","high","키워드 매치: '이벤트 안내'","found_quick"
"컴포즈커피","식품","https://composecoffee.com","https://composecoffee.com/event","high","키워드 매치: 'EVENTS'","found_quick"
"메가커피","식품","https://www.megacoffee.me","","none","접속 실패: net::ERR_CERT_AUTHORITY_INVALID at https://www.megacoffee.me","error"
"빽다방","식품","https://paikscoffee.com","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"배스킨라빈스","식품","https://www.baskinrobbins.co.kr","https://www.baskinrobbins.co.kr/play/event/list.php","high","키워드 매치: 'BR Play'","found_quick"
"던킨","식품","https://www.dunkindonuts.co.kr","https://www.dunkindonuts.co.kr/event?flag=A","high","키워드 매치: 'EVENT'","found_quick"
"설빙","식품","https://sulbing.com","","low","링크 부족","skip"
"공차","식품","https://www.gong-cha.co.kr","","low","링크 부족","skip"
"정관장","식품","https://www.kgc.co.kr","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등의 키워드를 포함한 페이지를 찾을 수 없음. 정관장 공식 홈페이지는 기업 소개 및 브랜드 정보 중심이며, 실제 프로모션은 정관장몰(https://www.kgcshop.co.kr)에서 운영하는 것으로 보임","not_found"
"동서식품","식품","https://www.dongsuh.co.kr","https://www.dongsuh.co.kr/mediaCenter/event/list/1","high","키워드 매치: '이벤트'","found_quick"
"맥심","식품","https://www.maximcoffee.co.kr","https://www.maximcoffee.co.kr/event","high","키워드 매치: 'EVENT'","found_quick"
"카누","식품","https://www.kanucoffee.co.kr","","none","접속 실패: net::ERR_NAME_NOT_RESOLVED at https://www.kanucoffee.co.kr","error"
"네스카페","식품","https://www.nescafe.com/kr","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등 관련 페이지를 찾을 수 없음. 레시피, 지속가능성, 약관 등의 페이지만 존재","not_found"
"농심켈로그","식품","https://www.kellogg.co.kr","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등의 페이지를 찾을 수 없음. 주요 네비게이션(Brand & Products, Kellogg's Shop, Recipes, Health & Nutrition 등)과 회사정보 링크만 존재하며, 이벤트 관련 페이지가 없는 것으로 판단","not_found"
"포스트","식품","https://www.postcreal.co.kr","","none","접속 실패: net::ERR_NAME_NOT_RESOLVED at https://www.postcreal.co.kr","error"
"스팸","식품","https://www.cj.co.kr/ko/brands/spam","","high","제공된 링크 목록에 이벤트, 프로모션, 할인 관련 페이지가 없음. 메인 네비게이션 링크만 존재","not_found"
"햇반","식품","https://www.cj.co.kr/ko/brands/hetbahn","","high","제공된 링크 목록에 이벤트/프로모션 관련 페이지가 없음. 메인, 이전페이지, 영문 홈으로의 링크만 존재","not_found"
"고메","식품","https://www.cj.co.kr/ko/brands/gourmet","","high","제공된 링크에 이벤트/프로모션 목록 페이지가 없음. 메인, 이전페이지, 언어변경 링크만 존재","not_found"
"초코파이","식품","https://www.orionworld.com","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등의 키워드를 포함한 페이지를 찾을 수 없음. 제품 카테고리, 회사소개, 윤리경영 등의 페이지만 존재","not_found"
"새우깡","식품","https://www.nongshim.com","https://www.nongshim.com/promotion/event/progress","high","키워드 매치: '농시미 이벤트'","found_quick"
"허니버터칩","식품","https://www.ht.co.kr","https://www.ht.co.kr/#","high","키워드 매치: '이벤트'","found_quick"
"꼬깔콘","식품","https://www.lottewellfood.com","https://www.lottewellfood.com/prcenter/event","high","키워드 매치: '이벤트'","found_quick"
"빼빼로","식품","https://www.lottewellfood.com","https://www.lottewellfood.com/prcenter/event","high","키워드 매치: '이벤트'","found_quick"
"월드콘","식품","https://www.lottewellfood.com","https://www.lottewellfood.com/prcenter/event","high","키워드 매치: '이벤트'","found_quick"
"부라보콘","식품","https://www.haetae.co.kr","","none","접속 실패: net::ERR_SSL_PROTOCOL_ERROR at https://www.haetae.co.kr","error"
"메로나","식품","https://www.bing.co.kr","","high","제공된 링크 목록에 이벤트, 프로모션, 할인, 혜택, 기획전 등의 페이지가 없음. 뉴스룸, 제품소개, 고객센터 등이 있지만 이벤트 목록 페이지는 확인되지 않음","not_found"
"바나나맛우유","식품","https://www.bing.co.kr","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등의 키워드를 포함한 페이지를 찾을 수 없음. 뉴스룸, 제품소개, 고객센터 등의 페이지가 있지만 명확한 이벤트/프로모션 목록 페이지 없음","not_found"
"요플레","식품","https://www.bing.co.kr","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등의 페이지를 찾을 수 없음. 요플레(빙그레) 홈페이지는 B2B 중심 기업 사이트로 보이며, 소비자 대상 이벤트 페이지가 없는 것으로 판단됨","not_found"
"제주삼다수","식품","https://www.jpdc.co.kr/samdasoo","","low","링크 부족","skip"
"아이시스","식품","https://www.lottechilsung.co.kr","https://company.lottechilsung.co.kr/kor/invest/irevent/list.do","high","키워드 매치: 'IR EVENT'","found_quick"
"강원평창수","식품","https://www.cocacola.co.kr","","none","접속 실패: net::ERR_CERT_COMMON_NAME_INVALID at https://www.cocacola.co.kr","error"
"에비앙","식품","https://www.evian.com","https://www.evian.com/en_int/our-fine-dining/our-events/","high","키워드 매치: 'Our Events'","found_quick"
"포카리스웨트","식품","https://www.donga-otsuka.co.kr","https://www.donga-otsuka.co.kr/#","high","키워드 매치: 'AI TEST
(EVENT)'","found_quick"
"게토레이","식품","https://www.lottechilsung.co.kr","https://company.lottechilsung.co.kr/kor/invest/irevent/list.do","high","키워드 매치: 'IR EVENT'","found_quick"
